,Point Estimate,Lower Bound,Upper Bound
0.28822312,0.7623762376237624,0.6896307742355238,0.8256880733944955
0.46546817,0.7572815533980582,0.6808510638297872,0.8214536048064085
0.6427132,0.7663551401869159,0.6990291262135923,0.8251509715994021
0.8199582,0.7692307692307693,0.7058543417366947,0.8296988530323072
0.99720323,0.7758620689655172,0.712947108066971,0.8326180257510729
1.1744483,0.7851239669421488,0.7255169778360084,0.8387096774193549
1.3516934,0.7857142857142857,0.7279623931623932,0.8389629295497417
1.5289384,0.78125,0.7232108516483516,0.8322116929007388
1.7061834,0.7849056603773585,0.7259244959244959,0.8350896471949104
1.8834285,0.7720588235294118,0.7122147226039394,0.8239721331288058
2.0606735,0.7709090909090909,0.7178846153846155,0.8208931087855477
2.2379184,0.7758007117437722,0.7220216606498195,0.8266730769230769
2.4151635,0.7719298245614035,0.7159511536749609,0.8246834415584415
2.5924084,0.7697594501718213,0.7137308498732973,0.8213251003334464
2.7696536,0.7702702702702703,0.7153135940324463,0.8208469055374593
2.9468985,0.7581227436823105,0.6980342784595852,0.8113299436412644
3.1241436,0.7489361702127659,0.6841507177033493,0.8112703688316484
3.3013887,0.7321428571428571,0.6634615384615384,0.7928076837167746
3.4786336,0.7352941176470589,0.6632096644592835,0.8020220172702202
3.6558788,0.7309644670050761,0.6560803891449053,0.8
3.8331237,0.7040816326530612,0.6256808659217877,0.7677887253679222
4.010369,0.696969696969697,0.6214689265536724,0.760872216330859
4.187614,0.6871794871794872,0.6136180351906159,0.7562386664806807
4.364859,0.6865671641791045,0.6029882421817827,0.7533697276922077
4.5421042,0.6767676767676768,0.5988439572586589,0.7476923417637418
4.7193494,0.6804123711340206,0.60212409659792,0.7500317258883249
4.896594,0.6914893617021277,0.6122082365880485,0.7638190954773869
5.073839,0.7065217391304348,0.6310144512350394,0.776598326791985
5.2510843,0.7111111111111111,0.632183908045977,0.7816341829085457
5.4283295,0.7103825136612022,0.6314946018893388,0.7794915254237288
5.605574,0.708994708994709,0.6303971834837299,0.7717525828669823
5.7828193,0.7027027027027027,0.6206804351834778,0.7735920166872097
5.9600644,0.6857142857142857,0.6013051846505473,0.7586391296330444
6.1373096,0.6783625730994152,0.5935244922341696,0.7592617349970292
6.3145547,0.6506024096385542,0.5604362092260182,0.7303421247392855
6.4917994,0.6585365853658537,0.5713789682539683,0.7381087662337663
6.6690445,0.6547619047619048,0.5616271299699299,0.7303370786516854
6.8462896,0.6707317073170732,0.5882352941176471,0.7530904280904281
7.023535,0.6625,0.5671230056613484,0.745109641489732
7.2007794,0.6419753086419753,0.54421768707483,0.7222294938917976
7.3780246,0.6459627329192547,0.555482456140351,0.7317136032185064
7.5552697,0.6455696202531646,0.5522365168024906,0.7305446798710271
7.732515,0.6369426751592356,0.5503355704697986,0.7204968944099379
7.90976,0.6329113924050633,0.5362247797669794,0.7159304387808724
8.087005,0.6216216216216216,0.5223535682929888,0.703047138047138
8.26425,0.6187050359712231,0.5172270114942529,0.7111111111111111
8.441495,0.6176470588235294,0.5203091991549837,0.7050571307659754
8.61874,0.6176470588235294,0.5132743362831859,0.7051184052757793
8.795985,0.6268656716417911,0.5299019607843137,0.7230851063829787
8.97323,0.624,0.5199464285714286,0.7133116883116883
9.1504755,0.6141732283464567,0.5119819548872181,0.7153284671532847
9.32772,0.6153846153846154,0.5086899942163101,0.7193014009844756
9.504965,0.6260869565217392,0.5148373408769449,0.723095238095238
9.68221,0.6194690265486725,0.5050505050505051,0.7206063162970106
9.859455,0.6260869565217392,0.5279868131868132,0.7321428571428571
10.0367,0.628099173553719,0.5202481076534905,0.7218045112781954
10.213945,0.6271186440677966,0.52,0.7172492761252961
10.391191,0.6271186440677966,0.5148242347170497,0.7246633320507887
10.568436,0.6055045871559633,0.48978506296135477,0.708701891235558
