Model,F1 Score,Accuracy
ELMClassifier,0.7014788421241128,0.942996314122154
KNeighborsClassifier,0.6783912778639121,0.9389244446838619
SGDClassifier,0.6699325747368132,0.9368900638761181
SVC,0.6834974011320358,0.9411647705494424
RandomForestClassifier,0.6991847484027395,0.9405533582097283
ExtraTreesClassifier,0.6927054809392696,0.9429969356867147
HistGradientBoostingClassifier,0.6882365832168031,0.9374983683930276
XGBClassifier,0.6811452238586446,0.9407570241975083
