genus,date,dbh,latitude,longitude
Abies,2012-01-01,0.8290000152587891,49.33769275098966,12.752799589251914
Picea,2012-01-01,0.755,49.337699675784044,12.7526961500169
Picea,2012-01-01,0.6880000305175781,49.33777496507376,12.753178956707362
Fagus,2012-01-01,0.674000015258789,49.337448634901044,12.752966210938977
Acer,2012-01-01,0.67,49.33755042881176,12.752784215998998
Fagus,2012-01-01,0.6630000305175782,49.336991949135886,12.752649453140512
Fagus,2012-01-01,0.6569999694824219,49.33747629232727,12.752627550389926
Fagus,2012-01-01,0.6519999694824219,49.33765457967654,12.752606981792342
Fagus,2012-01-01,0.6469999694824219,49.33724338680265,12.753088583743837
Fagus,2012-01-01,0.6459999847412109,49.33741670709046,12.752428910446275
Fagus,2012-01-01,0.645,49.33752519525479,12.752530654730979
Acer,2012-01-01,0.64,49.33773004636693,12.752783831597437
Fagus,2012-01-01,0.6290000152587891,49.337345555679285,12.752597627003794
Fagus,2012-01-01,0.6290000152587891,49.337709114587454,12.75358214173054
Fagus,2012-01-01,0.6279999923706054,49.337433841984776,12.753244940492394
Fagus,2012-01-01,0.6270000076293946,49.337237962883556,12.75248879997862
Fagus,2012-01-01,0.6209999847412109,49.337017623430434,12.752695075389152
Fagus,2012-01-01,0.62,49.33759706335869,12.753228531280149
Fagus,2012-01-01,0.6179999923706054,49.33695459569004,12.753319386513443
Fagus,2012-01-01,0.6170000076293946,49.33687116632775,12.752827000348137
Fagus,2012-01-01,0.6009999847412109,49.33715659351208,12.752525912502897
Fagus,2012-01-01,0.6,49.33739400705643,12.753337056687748
Fagus,2012-01-01,0.5940000152587891,49.33765669206213,12.75294058809476
Acer,2012-01-01,0.5929999923706055,49.33763483887074,12.752734487771678
Fagus,2012-01-01,0.5929999923706055,49.33740335138232,12.752806786259548
Picea,2012-01-01,0.5890000152587891,49.33738946233814,12.75374740941571
Fagus,2012-01-01,0.585,49.33727782234114,12.752941886830804
Fagus,2012-01-01,0.58,49.336976828070874,12.752901728660603
Fagus,2012-01-01,0.5759999847412108,49.33760780334802,12.753124538051827
Fagus,2012-01-01,0.5720000076293945,49.33757836998942,12.7529173145496
Fagus,2012-01-01,0.5709999847412108,49.33687002425455,12.75293069451018
Fagus,2012-01-01,0.57,49.337061225142,12.753144322505312
Fagus,2012-01-01,0.57,49.33719161200121,12.75362863059338
Fagus,2012-01-01,0.5690000152587892,49.33758743951348,12.752689558210983
Fagus,2012-01-01,0.5679999923706055,49.33701635858473,12.753614839478248
Fagus,2012-01-01,0.5659999847412108,49.3372413025677,12.753024459967314
Picea,2012-01-01,0.5629999923706055,49.33774676312123,12.753324402713456
Fagus,2012-01-01,0.5609999847412108,49.33706644088953,12.752533082906918
Fagus,2012-01-01,0.56,49.33766050673217,12.752819069540873
Fagus,2012-01-01,0.5590000152587892,49.33770346074354,12.753131451054948
Fagus,2012-01-01,0.5590000152587892,49.33723660083301,12.753513184189714
Fagus,2012-01-01,0.5540000152587892,49.3374534687051,12.753494278107373
Picea,2012-01-01,0.5520000076293945,49.337354548116544,12.752500139924672
Fagus,2012-01-01,0.5509999847412108,49.337617733511955,12.753689501577668
Fagus,2012-01-01,0.55,49.33734606578588,12.753546528907007
Fagus,2012-01-01,0.55,49.336939569089374,12.752755147724095
Fagus,2012-01-01,0.5470000076293945,49.337275010685175,12.752716464912798
Fagus,2012-01-01,0.5470000076293945,49.33713537724634,12.752841167272633
Fagus,2012-01-01,0.5470000076293945,49.33726990200388,12.753060703042669
Fagus,2012-01-01,0.5459999847412109,49.33773108558783,12.753435764035885
Fagus,2012-01-01,0.5390000152587892,49.33703466234689,12.75282456260474
Abies,2012-01-01,0.5390000152587892,49.33762387599909,12.752470272103372
Fagus,2012-01-01,0.5390000152587892,49.337191748828644,12.752784236056556
Fagus,2012-01-01,0.5379999923706055,49.33699824024984,12.753265575802992
Fagus,2012-01-01,0.5340000152587892,49.337672583448544,12.75349580732864
Fagus,2012-01-01,0.5329999923706055,49.337304486784774,12.752636628765226
Fagus,2012-01-01,0.5329999923706055,49.33733926892057,12.752866070951205
Fagus,2012-01-01,0.53,49.337081616713576,12.75297741773014
Acer,2012-01-01,0.5290000152587891,49.337706598968815,12.752977845835089
Fagus,2012-01-01,0.5279999923706055,49.33708677646588,12.752647328523565
Fagus,2012-01-01,0.5270000076293946,49.337154032337445,12.752668535838888
Fagus,2012-01-01,0.5270000076293946,49.337282823084955,12.752764723281706
Fagus,2012-01-01,0.5229999923706055,49.33706771615233,12.75378608403083
Fagus,2012-01-01,0.5229999923706055,49.33735713900754,12.752458053877811
Fagus,2012-01-01,0.5209999847412109,49.33692397190549,12.753381450053144
Fagus,2012-01-01,0.52,49.33757106781936,12.753070929571765
Fagus,2012-01-01,0.52,49.33747947180755,12.752429307845542
Fagus,2012-01-01,0.52,49.337571626643324,12.753475953542477
Fagus,2012-01-01,0.52,49.337083284107244,12.753233503673387
Fagus,2012-01-01,0.5190000152587891,49.33725861511125,12.75254049305647
Picea,2012-01-01,0.5179999923706055,49.337485403575286,12.753049779451763
