genus,date,dbh,latitude,longitude
Acer,2023-01-01,0.48,48.14142719814156,10.886298996031588
Fagus,2023-01-01,0.649,48.14117276597092,10.886029587305455
Fagus,2023-01-01,0.657,48.141142388617524,10.886085623964451
Fagus,2023-01-01,0.19899999999999998,48.14098343510103,10.885530025596786
Fagus,2023-01-01,0.654,48.140942301742875,10.88591846299633
Fagus,2023-01-01,0.735,48.14088044660308,10.886199516050269
Fagus,2023-01-01,0.5870000000000001,48.1410284414038,10.886000721832813
Fagus,2023-01-01,0.8220000000000001,48.140801766929336,10.88588315211149
Fagus,2023-01-01,0.603,48.14101613238645,10.886683383568242
Fagus,2023-01-01,0.263,48.140851575106296,10.885924132932722
Fagus,2023-01-01,0.5710000000000001,48.140649284689054,10.885668843592303
Fagus,2023-01-01,0.16699999999999998,48.14062550626043,10.88566590191803
Fagus,2023-01-01,0.161,48.140598983808914,10.88566999649002
Fagus,2023-01-01,0.815,48.14106581671153,10.885922284256626
Fagus,2023-01-01,0.221,48.140928592639874,10.886435139862444
Fagus,2023-01-01,0.223,48.14104434150783,10.885588922248106
Fagus,2023-01-01,0.447,48.14073065039422,10.885941463299138
Fagus,2023-01-01,0.33799999999999997,48.14086658844077,10.886218920937834
Fagus,2023-01-01,0.599,48.14092903696081,10.88597877854662
Fagus,2023-01-01,0.812,48.1409642382578,10.886040119361313
Fagus,2023-01-01,0.541,48.14080220459194,10.88619955631309
Fagus,2023-01-01,0.324,48.141117696146985,10.885681964764139
Fagus,2023-01-01,0.6970000000000001,48.140666616181115,10.885661265561831
Fagus,2023-01-01,0.466,48.1408896828024,10.88624947599991
Fagus,2023-01-01,0.327,48.14094187941719,10.88636882421426
Fagus,2023-01-01,0.632,48.1406006334392,10.88628565915689
Fagus,2023-01-01,0.733,48.140583980062615,10.88566075698539
Fagus,2023-01-01,0.444,48.141188012449774,10.885670661975242
Fagus,2023-01-01,0.192,48.14068344703917,10.886238303815638
Fagus,2023-01-01,0.22699999999999998,48.14063485748323,10.886273560475205
Fagus,2023-01-01,0.3,48.1407117927606,10.886155968989916
Fagus,2023-01-01,0.41700000000000004,48.14109662940359,10.886574271386865
Fagus,2023-01-01,0.539,48.140547146498704,10.88619027828533
Fagus,2023-01-01,0.583,48.14118302850379,10.886498552025339
Fagus,2023-01-01,0.21600000000000003,48.14078333905897,10.886403454938302
Fagus,2023-01-01,0.327,48.14080943377838,10.88636850423701
Fagus,2023-01-01,0.649,48.14119842461093,10.885764201760757
Fagus,2023-01-01,0.368,48.14060082044376,10.886334372612968
Fagus,2023-01-01,0.601,48.141206415363825,10.886403367911157
Fagus,2023-01-01,0.22,48.140590384259326,10.88600622718728
Fagus,2023-01-01,0.185,48.141067764467344,10.885615439488719
Fagus,2023-01-01,0.275,48.14075780676374,10.886443725369217
Fagus,2023-01-01,0.439,48.140946112084485,10.886180818263584
Fagus,2023-01-01,0.43700000000000006,48.14085249576977,10.886551919333899
Fagus,2023-01-01,0.675,48.141215827270344,10.885762905808203
Fagus,2023-01-01,0.483,48.1413185978864,10.886586053984555
Fagus,2023-01-01,0.467,48.1408529293294,10.885700033722001
Fagus,2023-01-01,0.256,48.140850720879826,10.885714761752727
Fagus,2023-01-01,0.332,48.14118179896248,10.88658337059715
Fagus,2023-01-01,0.653,48.14092456632492,10.885751853515453
Fagus,2023-01-01,0.373,48.14061694005113,10.885945052747287
Fagus,2023-01-01,0.601,48.14055927903801,10.886019395886764
Fagus,2023-01-01,0.27899999999999997,48.1412927203475,10.885822279607364
Fagus,2023-01-01,0.6890000000000001,48.14060239667739,10.886033241675092
Fagus,2023-01-01,0.737,48.14128777782168,10.886717163701118
Fagus,2023-01-01,0.5529999999999999,48.14137590650611,10.886136827030674
Fagus,2023-01-01,0.741,48.14136539160825,10.885953264533004
Fagus,2023-01-01,0.353,48.14089902789369,10.886430908950077
Fagus,2023-01-01,0.306,48.140853277745904,10.88648355624871
Fagus,2023-01-01,0.535,48.1407727669534,10.886231336557213
Fagus,2023-01-01,0.259,48.1412233235024,10.885873804317338
Fagus,2023-01-01,0.409,48.14109518061273,10.886743101331133
Fagus,2023-01-01,0.409,48.14092848693382,10.885506755799264
Fagus,2023-01-01,0.621,48.14130189908958,10.885945510138825
Fagus,2023-01-01,0.408,48.14138111489853,10.885867620917724
Fagus,2023-01-01,0.545,48.14067109664178,10.885380178505997
Fagus,2023-01-01,0.698,48.14127968912153,10.886348889185964
Fagus,2023-01-01,0.609,48.140953048613596,10.885623465583375
Fagus,2023-01-01,0.23,48.14054797620633,10.886463986306666
Fagus,2023-01-01,0.6,48.14087227180514,10.885532435355541
Fagus,2023-01-01,0.426,48.140852717935296,10.885616009858527
Fagus,2023-01-01,0.326,48.14079214700537,10.88549152829545
Fagus,2023-01-01,0.642,48.1408492534914,10.885432798800965
Fagus,2023-01-01,0.688,48.14054790964841,10.886217375958752
Fagus,2023-01-01,0.264,48.14057094449877,10.886334877418316
Fagus,2023-01-01,0.948,48.14110614743372,10.88561853723436
Fagus,2023-01-01,0.503,48.14054231822804,10.886357889263111
Fagus,2023-01-01,0.557,48.14115326489191,10.886613503117298
Fagus,2023-01-01,0.215,48.14102368819106,10.885683489853145
Fagus,2023-01-01,0.76,48.140982448096906,10.886514343353381
Fagus,2023-01-01,0.42200000000000004,48.140667968711355,10.885461171560621
Fagus,2023-01-01,0.5760000000000001,48.140872051812295,10.88546180952099
Fagus,2023-01-01,0.418,48.140780351456335,10.886448863430566
Fagus,2023-01-01,0.614,48.141324243562615,10.886028519655307
Fagus,2023-01-01,0.428,48.14134339306283,10.88586691549565
Fagus,2023-01-01,0.585,48.141283261525565,10.885873357628281
Fagus,2023-01-01,0.465,48.14125736548108,10.885844114511483
Fagus,2023-01-01,0.18899999999999997,48.140853573433304,10.88623081451067
Fagus,2023-01-01,0.213,48.141056465855584,10.88667174602429
Fagus,2023-01-01,0.529,48.14130239503516,10.885769533166252
Fagus,2023-01-01,0.33299999999999996,48.14056484247764,10.885310999478888
Fagus,2023-01-01,0.583,48.14130061380258,10.886000599781102
Quercus,2023-01-01,0.637,48.141027069629516,10.886423421723013
Fagus,2023-01-01,0.647,48.14136313621807,10.885890532102522
Fagus,2023-01-01,0.255,48.14123896040509,10.885956474348715
Quercus,2023-01-01,0.5429999999999999,48.141328953167246,10.88683199774313
Fagus,2023-01-01,0.633,48.14123878792877,10.886035462788767
Fagus,2023-01-01,0.21,48.14128241063241,10.886797951364793
Fagus,2023-01-01,0.307,48.14085297878998,10.885650490153324
Fagus,2023-01-01,0.42,48.140710541161994,10.886452922856137
Fagus,2023-01-01,0.45799999999999996,48.140906511816496,10.885579372193902
Fagus,2023-01-01,0.31,48.141159445646856,10.885891858260756
Fagus,2023-01-01,0.40299999999999997,48.140697867765425,10.886279207114297
Carpinus,2023-01-01,0.5920000000000001,48.14145836390833,10.886480662548756
Fagus,2023-01-01,0.519,48.14078038300599,10.885608411355237
Quercus,2023-01-01,0.613,48.14094396368968,10.886407545937157
Fagus,2023-01-01,0.36200000000000004,48.14070624645776,10.885432585312328
Fagus,2023-01-01,0.601,48.14068595054173,10.885331913420044
Fagus,2023-01-01,0.7,48.141299107043075,10.886177384587908
Quercus,2023-01-01,0.585,48.14124949545267,10.886580643853113
Tilia,2023-01-01,0.183,48.14131914063196,10.886494375697573
Quercus,2023-01-01,0.665,48.14105794793056,10.886346186334986
Quercus,2023-01-01,0.573,48.14067134369485,10.885929367983007
Quercus,2023-01-01,0.61,48.14064929042236,10.886373359915224
Quercus,2023-01-01,0.669,48.140575969286004,10.885900287557135
Quercus,2023-01-01,0.774,48.141249219166426,10.886432138468754
Quercus,2023-01-01,0.5329999999999999,48.141108127217805,10.886676915351611
Quercus,2023-01-01,0.597,48.14079585347431,10.886412760185772
Quercus,2023-01-01,0.607,48.14060652727375,10.886243128727976
Quercus,2023-01-01,0.698,48.14086816827503,10.886268373653854
Quercus,2023-01-01,0.6890000000000001,48.140999535585586,10.886308018597612
Quercus,2023-01-01,0.805,48.1413339055607,10.886490629362887
Quercus,2023-01-01,0.48,48.14119093400272,10.886783918690725
Quercus,2023-01-01,0.626,48.14077538635882,10.886329248928734
Tilia,2023-01-01,0.146,48.14137980780888,10.88654028741998
Quercus,2023-01-01,0.6679999999999999,48.14080867394783,10.886125082499822
Quercus,2023-01-01,0.626,48.14129428453605,10.886541086790393
Quercus,2023-01-01,0.611,48.14092057415298,10.885928841166528
Quercus,2023-01-01,0.875,48.14079654295728,10.885674208885066
Quercus,2023-01-01,0.637,48.141166017118806,10.8865704786446
Quercus,2023-01-01,0.6559999999999999,48.14113656645771,10.88664985048056
Quercus,2023-01-01,0.626,48.140824562209616,10.886011672075666
