genus,date,dbh,latitude,longitude
Fagus,2022-01-01,0.115,49.09442076017284,13.151036513337317
Fagus,2022-01-01,0.243,49.094492564744975,13.150434120215312
Fagus,2022-01-01,0.415,49.09448289722711,13.151322871445362
Fagus,2022-01-01,0.226,49.09444784929844,13.151348593508114
Acer,2022-01-01,0.47,49.09435407668644,13.15106896821505
Fagus,2022-01-01,0.36700000000000005,49.094113538401295,13.15017700469269
Fagus,2022-01-01,0.177,49.09439085674307,13.151047640804338
Fagus,2022-01-01,0.136,49.09432843452163,13.151090141044955
Fagus,2022-01-01,0.08900000000000001,49.094537606591985,13.150159666972728
Fagus,2022-01-01,0.11800000000000001,49.094788795569805,13.15109364375287
Acer,2022-01-01,0.12300000000000001,49.0942353029746,13.151030881595064
Fagus,2022-01-01,0.265,49.09403516728915,13.15018340654079
Fagus,2022-01-01,0.091,49.09419154142869,13.150883744207308
Picea,2022-01-01,0.612,49.09426827106245,13.1510036786403
Fagus,2022-01-01,0.381,49.09449954519835,13.150654929255463
Fagus,2022-01-01,0.713,49.09431184309517,13.150057082131548
Fagus,2022-01-01,0.384,49.09441749638645,13.15119131042222
Fagus,2022-01-01,0.41700000000000004,49.09460959061809,13.150841822806001
Acer,2022-01-01,0.321,49.0941027990918,13.151266097635668
Fagus,2022-01-01,0.136,49.09468625638574,13.150826222949581
Fagus,2022-01-01,0.429,49.09425945323541,13.150218990983394
Fagus,2022-01-01,0.087,49.094568988792325,13.150170674912845
Fagus,2022-01-01,0.095,49.09468029245614,13.150810583344192
Acer,2022-01-01,0.10099999999999999,49.094587196675654,13.151026126912354
Fagus,2022-01-01,0.15,49.09477561950063,13.151120495832137
Fagus,2022-01-01,0.17,49.09441026345714,13.15133915340203
Fagus,2022-01-01,0.18100000000000002,49.094253146608814,13.15110957559101
Fagus,2022-01-01,0.395,49.09443434358264,13.151164849133414
Fagus,2022-01-01,0.431,49.09420140844663,13.15117405403499
Fagus,2022-01-01,0.138,49.094546684146664,13.150160969708645
Fagus,2022-01-01,0.105,49.09453733608554,13.151160038399869
Fagus,2022-01-01,0.17300000000000001,49.094291640698586,13.150585638018287
Fagus,2022-01-01,0.13699999999999998,49.09408544947946,13.150685778909155
Fagus,2022-01-01,0.182,49.094639095462306,13.150690062831552
Fagus,2022-01-01,0.128,49.09420042301007,13.15103858904138
Fagus,2022-01-01,0.38,49.0941698611402,13.150934569545829
Fagus,2022-01-01,0.3,49.094125506671766,13.15111386385433
Fagus,2022-01-01,0.099,49.09475284246327,13.150760378639673
Fagus,2022-01-01,0.091,49.094356841380446,13.150546135559193
Fagus,2022-01-01,0.374,49.09476997585353,13.150972418451735
Fagus,2022-01-01,0.12,49.094778788043065,13.150965824484583
Fagus,2022-01-01,0.11800000000000001,49.09448841560142,13.151065415786306
Fagus,2022-01-01,0.115,49.09459097239887,13.15103720661332
Fagus,2022-01-01,0.073,49.09481830873877,13.150721294635906
Fagus,2022-01-01,0.081,49.09459608905387,13.151146924331663
Fagus,2022-01-01,0.401,49.09449030802921,13.150809442410841
Picea,2022-01-01,0.478,49.09439877349187,13.150368005866381
Fagus,2022-01-01,0.109,49.09414747979622,13.15028206097397
Fagus,2022-01-01,0.233,49.09440913692357,13.150373137169282
Fagus,2022-01-01,0.278,49.094536135255986,13.150618899616314
Fagus,2022-01-01,0.096,49.09411239190981,13.150727588513046
Fagus,2022-01-01,0.16,49.094438466148205,13.151105851330113
Fagus,2022-01-01,0.179,49.094568699215394,13.150309390139897
Fagus,2022-01-01,0.2,49.09419893951956,13.150075756595342
Fagus,2022-01-01,0.309,49.094216195356495,13.150084975038425
Fagus,2022-01-01,0.12,49.094692635478474,13.150074504842927
Fagus,2022-01-01,0.122,49.094208665970484,13.150610811535206
Fagus,2022-01-01,0.235,49.094168711917476,13.15029048945049
Fagus,2022-01-01,0.321,49.09467711171106,13.150491629238646
Fagus,2022-01-01,0.166,49.09417110683801,13.150286651249147
Acer,2022-01-01,0.11199999999999999,49.09437146453578,13.151061639287104
Fagus,2022-01-01,0.231,49.094174210387536,13.150280191966875
Fagus,2022-01-01,0.21,49.09434002911368,13.151235695938697
Fagus,2022-01-01,0.19699999999999998,49.09438258097656,13.15045379925516
Fagus,2022-01-01,0.218,49.09440873230511,13.151319150785895
Fagus,2022-01-01,0.09,49.094430912975426,13.151143511789671
Fagus,2022-01-01,0.209,49.09419967908156,13.15045275449492
Fagus,2022-01-01,0.09,49.09455534319196,13.150993186868721
Fagus,2022-01-01,0.409,49.09429202133228,13.150581391867995
Fagus,2022-01-01,0.105,49.09431606250503,13.150752119123858
Picea,2022-01-01,0.52,49.09469464341868,13.15048965085298
Fagus,2022-01-01,0.102,49.09432238769314,13.150458134174036
Picea,2022-01-01,0.629,49.09435224900347,13.15090420130643
Fagus,2022-01-01,0.09,49.09432830559295,13.15056897497999
Fagus,2022-01-01,0.33799999999999997,49.094574513385595,13.150865005838211
Fagus,2022-01-01,0.591,49.094091400860286,13.15068325763011
Fagus,2022-01-01,0.126,49.09459340665326,13.150580043772981
Fagus,2022-01-01,0.165,49.094552472409006,13.15022853893761
Fagus,2022-01-01,0.28,49.09412820327628,13.150268962118474
Fagus,2022-01-01,0.439,49.09475909877164,13.150842535698677
Fagus,2022-01-01,0.158,49.094408977904465,13.150215296595704
Picea,2022-01-01,0.297,49.09407393708368,13.15051072139742
Fagus,2022-01-01,0.514,49.094121460694375,13.150191579098788
Fagus,2022-01-01,0.203,49.09439718020948,13.150231028688685
Fagus,2022-01-01,0.364,49.09449506492547,13.150810576294027
Picea,2022-01-01,0.305,49.09422836304925,13.151319882287767
Fagus,2022-01-01,0.163,49.09447500964035,13.150739471570148
Fagus,2022-01-01,0.153,49.09419174527199,13.150871740782417
Fagus,2022-01-01,0.2,49.09447854655584,13.15072663339811
Fagus,2022-01-01,0.075,49.09466649745848,13.150328649802107
Fagus,2022-01-01,0.447,49.09469494297,13.151186822462181
Fagus,2022-01-01,0.16399999999999998,49.094228914107724,13.150610625805015
Fagus,2022-01-01,0.268,49.09466661930716,13.151238385480848
Fagus,2022-01-01,0.077,49.094620421356204,13.150981048939212
Picea,2022-01-01,1.0,49.09473025324237,13.150007968509009
Fagus,2022-01-01,0.223,49.09444886963984,13.151098167196327
Fagus,2022-01-01,0.07200000000000001,49.09426820217408,13.150823545892074
Fagus,2022-01-01,0.38799999999999996,49.094314494858544,13.150449837309145
Picea,2022-01-01,0.777,49.0945945000307,13.15118153018965
Fagus,2022-01-01,0.12,49.09462559155952,13.150898222931525
Fagus,2022-01-01,0.17,49.094057529524584,13.150235577448534
Fagus,2022-01-01,0.499,49.09481813518675,13.151321894100711
Acer,2022-01-01,0.152,49.09418871887152,13.150639860092195
Fagus,2022-01-01,0.226,49.09452911414638,13.150911234774927
Acer,2022-01-01,0.21100000000000002,49.09415678293427,13.151237428034197
Fagus,2022-01-01,0.185,49.09439819133978,13.151324955966798
Fagus,2022-01-01,0.11699999999999999,49.09444291837437,13.150245711515462
Picea,2022-01-01,0.073,49.094552088499704,13.150229179685027
Fagus,2022-01-01,0.16699999999999998,49.09440003991689,13.151365677755155
Picea,2022-01-01,0.107,49.09459199446085,13.15021915264249
Fagus,2022-01-01,0.365,49.09448163254234,13.150567817944465
Fagus,2022-01-01,0.12,49.0944733430492,13.150448665418809
Fagus,2022-01-01,0.217,49.09466574848923,13.151019872386184
Fagus,2022-01-01,0.13,49.09447290639292,13.151276506093717
Fagus,2022-01-01,0.09300000000000001,49.09468434618387,13.150847720773339
Fagus,2022-01-01,0.34700000000000003,49.09445748336959,13.151207861970395
Fagus,2022-01-01,0.225,49.09426045567939,13.150462080102605
Picea,2022-01-01,0.304,49.094751325968794,13.15059416310671
Picea,2022-01-01,0.364,49.09418261477361,13.150603781448245
Fagus,2022-01-01,0.155,49.094423283046375,13.15047493991605
Picea,2022-01-01,0.10800000000000001,49.094041702054206,13.150075039523125
Fagus,2022-01-01,0.337,49.09432816041745,13.151220711389238
Fagus,2022-01-01,0.122,49.09481839321946,13.150926934765854
Fagus,2022-01-01,0.21100000000000002,49.09419130356645,13.150452836343863
Picea,2022-01-01,0.095,49.094747900141215,13.150318721524412
Fagus,2022-01-01,0.364,49.094230522073374,13.150788061747335
Fagus,2022-01-01,0.679,49.09419530447935,13.150880402236588
Picea,2022-01-01,0.18,49.094080808248385,13.150758359684463
Fagus,2022-01-01,0.13699999999999998,49.09419110865878,13.150878906872665
Picea,2022-01-01,0.08199999999999999,49.09450062905785,13.150319716966331
Fagus,2022-01-01,0.35100000000000003,49.094493463770185,13.150718730694646
Fagus,2022-01-01,0.081,49.09460739778519,13.150497701397379
