genus,date,dbh,latitude,longitude
Fagus,2022-01-01,0.155,48.88300619175271,13.35882953510407
Abies,2022-01-01,0.147,48.88331852285431,13.358189323718452
Fagus,2022-01-01,0.265,48.88330018129662,13.358114808473475
Fagus,2022-01-01,0.506,48.88318326010571,13.358166738820612
Fagus,2022-01-01,0.37200000000000005,48.88353037910298,13.35903901102477
Abies,2022-01-01,0.52,48.88292523340306,13.358665285824182
Picea,2022-01-01,0.33799999999999997,48.8834484992178,13.358880267000169
Fagus,2022-01-01,0.22,48.88348674064596,13.358351564176482
Fagus,2022-01-01,0.09300000000000001,48.88274017869739,13.358535052310062
Fagus,2022-01-01,0.228,48.88274364906501,13.358724774474602
Fagus,2022-01-01,0.37200000000000005,48.88275945610476,13.358397715671785
Fagus,2022-01-01,0.162,48.882947866042464,13.358824937219458
Fagus,2022-01-01,0.294,48.88273023170376,13.358917180456434
Fagus,2022-01-01,0.179,48.88275197227417,13.358872521942208
Ulmus,2022-01-01,0.078,48.883406158365425,13.358406882396533
Abies,2022-01-01,0.506,48.88352836060545,13.358480302092788
Fagus,2022-01-01,0.294,48.88340415144897,13.358962589678198
Fagus,2022-01-01,0.11,48.88276133275219,13.357972623975048
Fagus,2022-01-01,0.402,48.88320569523914,13.358167972838238
Fagus,2022-01-01,0.41,48.88274970131957,13.358370778347433
Fagus,2022-01-01,0.193,48.883366353888476,13.358578386192535
Fagus,2022-01-01,0.27,48.88344675381447,13.358056170918385
Fagus,2022-01-01,0.07200000000000001,48.88312607623844,13.358289764160885
Fagus,2022-01-01,0.455,48.88258992302669,13.358167458134115
Abies,2022-01-01,0.25,48.88308271742361,13.35877816347703
Fagus,2022-01-01,0.33899999999999997,48.88349239657396,13.35849360860864
Fagus,2022-01-01,0.159,48.88352930297658,13.358876374639147
Fagus,2022-01-01,0.153,48.88272096824495,13.3587791078606
Picea,2022-01-01,0.42700000000000005,48.883671093359084,13.358681300157638
Abies,2022-01-01,0.251,48.88261061007857,13.358564609411433
Abies,2022-01-01,0.11199999999999999,48.88308639363811,13.358311759539403
Fagus,2022-01-01,0.35100000000000003,48.882829394410905,13.358618328726536
Abies,2022-01-01,0.703,48.883470041175116,13.358474315164575
Abies,2022-01-01,0.603,48.883489621208874,13.358105772755584
Fagus,2022-01-01,0.083,48.88304140039322,13.358987099642288
Abies,2022-01-01,0.7020000000000001,48.883633380868694,13.358277645541566
Fagus,2022-01-01,0.565,48.88342408534148,13.358107726943311
Fagus,2022-01-01,0.15,48.88284902550417,13.358441548772788
Fagus,2022-01-01,0.084,48.882875968532204,13.358255444203737
Abies,2022-01-01,0.23199999999999998,48.882659994932574,13.358154637062727
Fagus,2022-01-01,0.205,48.883664325473106,13.358587828025364
Abies,2022-01-01,0.45799999999999996,48.882787476478775,13.35815053169735
Tilia,2022-01-01,0.21899999999999997,48.883051883582006,13.358442978748386
Fagus,2022-01-01,0.201,48.88263009626532,13.358826911368842
Fagus,2022-01-01,0.215,48.883611775456565,13.358291742484388
Fagus,2022-01-01,0.07400000000000001,48.882756527894216,13.35847133844769
Fagus,2022-01-01,0.111,48.88313887853319,13.358724142609361
Fagus,2022-01-01,0.22899999999999998,48.8834301209267,13.35897652404482
Fagus,2022-01-01,0.254,48.88355412787894,13.358540080117223
Fagus,2022-01-01,0.10099999999999999,48.88270311518109,13.35855343980199
Abies,2022-01-01,0.278,48.88273757914086,13.358270065747604
Fagus,2022-01-01,0.14,48.88313977215631,13.358501588022312
Fagus,2022-01-01,0.272,48.88332977469503,13.358527740074843
Abies,2022-01-01,0.665,48.883514882258616,13.358686602932444
Fagus,2022-01-01,0.509,48.88307239988859,13.358269026177824
Fagus,2022-01-01,0.075,48.88323461786202,13.358163727404591
Corylus,2022-01-01,0.11599999999999999,48.88323325416631,13.358817847367717
Abies,2022-01-01,0.076,48.883633638774754,13.359011481345906
Fagus,2022-01-01,0.239,48.883676321500865,13.3583105774909
Fagus,2022-01-01,0.196,48.88353246397797,13.358160931657677
Picea,2022-01-01,0.705,48.882748848720254,13.357953873604437
Picea,2022-01-01,0.47700000000000004,48.88295944635515,13.358845027781651
Fagus,2022-01-01,0.26899999999999996,48.88336090362447,13.3589991176747
Fagus,2022-01-01,0.212,48.88346055448824,13.3581833783833
Fagus,2022-01-01,0.106,48.88282749531273,13.358580845903205
Abies,2022-01-01,0.616,48.88347097994209,13.358261766479698
Fagus,2022-01-01,0.19399999999999998,48.882845066963206,13.358158978817993
Picea,2022-01-01,0.46,48.88355768329649,13.35814147528207
Fagus,2022-01-01,0.22,48.88334479918358,13.358987115506915
Fagus,2022-01-01,0.264,48.883411883475965,13.358837955913652
Fagus,2022-01-01,0.087,48.88268170896205,13.358583387767684
Fagus,2022-01-01,0.07400000000000001,48.88266848175403,13.358732867861942
Picea,2022-01-01,0.716,48.882762477311964,13.3589328495128
Fagus,2022-01-01,0.138,48.882932462862215,13.358044563332744
Fagus,2022-01-01,0.134,48.88360523737377,13.35855261802001
Fagus,2022-01-01,0.10099999999999999,48.883165135284116,13.358632487775008
Abies,2022-01-01,0.14,48.88336173348521,13.359014448365329
