genus,date,dbh,latitude,longitude
Acer,2022-01-01,0.078,48.902074119446645,11.83854476449812
Acer,2022-01-01,0.46299999999999997,48.90243382988568,11.839133466339778
Taxus,2022-01-01,0.319,48.90217587990762,11.839225951503863
Fagus,2022-01-01,0.099,48.902104883921034,11.839228796022155
Fagus,2022-01-01,0.322,48.902009505904836,11.838587589220237
Fagus,2022-01-01,0.361,48.90211996970644,11.83839103249301
Quercus,2022-01-01,0.499,48.90250648974448,11.839217023159867
Fagus,2022-01-01,0.317,48.90204790202351,11.838341379526723
Fagus,2022-01-01,0.425,48.90207780320797,11.838283678989043
Fagus,2022-01-01,0.525,48.902186630571016,11.83879433917599
Fagus,2022-01-01,0.478,48.90230537032632,11.839098916912517
Fagus,2022-01-01,0.185,48.90213234736054,11.838581091833882
Fagus,2022-01-01,0.175,48.90233737274766,11.839440354310492
Acer,2022-01-01,0.324,48.90228621509972,11.838902061919587
Acer,2022-01-01,0.14800000000000002,48.90232752327696,11.83901375836818
Prunus,2022-01-01,0.10099999999999999,48.90206973163604,11.83853778009835
Fagus,2022-01-01,0.5489999999999999,48.90214893872828,11.838809961510565
Fagus,2022-01-01,0.4,48.902149039995926,11.838600528775988
Quercus,2022-01-01,0.35100000000000003,48.90244812013392,11.839230692770943
Fagus,2022-01-01,0.24,48.902116975247345,11.838399534708357
Fagus,2022-01-01,0.504,48.90227560048179,11.838955791853827
Fagus,2022-01-01,0.258,48.90248121057965,11.839257398020607
Fagus,2022-01-01,0.292,48.902146368085525,11.838520513707786
Fagus,2022-01-01,0.49,48.9022764601242,11.839565688785841
Taxus,2022-01-01,0.154,48.90223811775598,11.839092739189082
Fagus,2022-01-01,0.377,48.90208430379219,11.838785978902184
Fagus,2022-01-01,0.49700000000000005,48.90225998372573,11.838818216837527
Fagus,2022-01-01,0.364,48.90219975735451,11.838684683505774
Quercus,2022-01-01,0.415,48.90222855792479,11.83853691264292
Fagus,2022-01-01,0.337,48.902194525719985,11.838684773588843
Taxus,2022-01-01,0.135,48.90230569947161,11.83883648310121
Taxus,2022-01-01,0.105,48.90228272368309,11.838989102636448
Fagus,2022-01-01,0.348,48.902140503048294,11.838597498008527
Taxus,2022-01-01,0.147,48.90218552390036,11.838990758011446
Fagus,2022-01-01,0.304,48.90205266260818,11.838621613451977
Taxus,2022-01-01,0.16,48.90218471655157,11.83899332543217
Taxus,2022-01-01,0.105,48.90228374167684,11.83892123881599
Fagus,2022-01-01,0.507,48.90202065544708,11.838412151306038
Fagus,2022-01-01,0.3,48.90226112786486,11.838565785192777
Fagus,2022-01-01,0.486,48.902146112761045,11.838802895135203
Taxus,2022-01-01,0.313,48.90190323327613,11.838389465774812
Fagus,2022-01-01,0.35100000000000003,48.90208169752278,11.838285454422612
Fagus,2022-01-01,0.35100000000000003,48.90241697299807,11.839106918969867
Taxus,2022-01-01,0.17800000000000002,48.90217621856342,11.838988929675171
Taxus,2022-01-01,0.39,48.90234308243657,11.838947495808304
Quercus,2022-01-01,0.564,48.90237654042752,11.838958092871769
Taxus,2022-01-01,0.294,48.90226789382423,11.839441475862532
Fagus,2022-01-01,0.44299999999999995,48.901889824112466,11.83843503722485
Fagus,2022-01-01,0.42200000000000004,48.90209239026578,11.838640763207035
Fagus,2022-01-01,0.475,48.902109493115454,11.839221579936305
Fagus,2022-01-01,0.387,48.90209289929034,11.838645425768604
Taxus,2022-01-01,0.456,48.902333983026175,11.839424114742217
Taxus,2022-01-01,0.405,48.9019107782384,11.838639603642076
Taxus,2022-01-01,0.28600000000000003,48.90233004241607,11.839353208402315
Fagus,2022-01-01,0.602,48.9019498963917,11.838741249516978
Taxus,2022-01-01,0.203,48.9022753427029,11.838733230427511
Taxus,2022-01-01,0.29600000000000004,48.90230174934884,11.838952471532325
Taxus,2022-01-01,0.253,48.90227714080019,11.83873452304857
Fagus,2022-01-01,0.28,48.902011641791454,11.838429050258236
Fagus,2022-01-01,0.38799999999999996,48.902140177554074,11.83832903090949
Fagus,2022-01-01,0.423,48.90232383301079,11.83933932904152
Fagus,2022-01-01,0.375,48.90227599390204,11.839559524684834
Taxus,2022-01-01,0.171,48.902238169008044,11.839103807132162
Taxus,2022-01-01,0.314,48.90232277505174,11.839395715695053
Taxus,2022-01-01,0.32899999999999996,48.90208153883675,11.838680276187514
Taxus,2022-01-01,0.52,48.90232664553136,11.839083129962892
Taxus,2022-01-01,0.134,48.902236858423215,11.83909829640624
Fagus,2022-01-01,0.429,48.90233791131626,11.839447204362358
Taxus,2022-01-01,0.34,48.902180295970545,11.83899071156378
Taxus,2022-01-01,0.326,48.90227957240009,11.838736110937125
Fagus,2022-01-01,0.562,48.90186570131904,11.838576413114952
Fagus,2022-01-01,0.5,48.90206061187767,11.838339637836084
Fagus,2022-01-01,0.474,48.90225112088926,11.839338015066131
Fagus,2022-01-01,0.349,48.90205010586082,11.838617971955976
Taxus,2022-01-01,0.265,48.90221472525693,11.838928661496928
Fagus,2022-01-01,0.42,48.90241954285256,11.839029682318214
Fagus,2022-01-01,0.381,48.902147106585275,11.838510702938688
Taxus,2022-01-01,0.34299999999999997,48.90211194034258,11.83884951657474
Fagus,2022-01-01,0.21,48.90202003608068,11.83842101003377
Acer,2022-01-01,0.162,48.90195709239298,11.838476052056114
Fagus,2022-01-01,0.166,48.90203050614274,11.838961017989003
Fagus,2022-01-01,0.423,48.90250465677235,11.839335954814
Fagus,2022-01-01,0.38,48.90246577589612,11.83920671896419
Fagus,2022-01-01,0.5479999999999999,48.90211342515424,11.838318122649612
Fagus,2022-01-01,0.39799999999999996,48.902143286573754,11.83834225513718
Fagus,2022-01-01,0.27699999999999997,48.90213622518771,11.838335723862073
Fagus,2022-01-01,0.485,48.90210734805196,11.839029828963897
Fagus,2022-01-01,0.102,48.901893168321266,11.838436793479264
Quercus,2022-01-01,0.44299999999999995,48.902237266706486,11.838540359415205
Taxus,2022-01-01,0.212,48.90223781937049,11.839093548429322
Tilia,2022-01-01,0.175,48.902176299233574,11.838783458013273
Fagus,2022-01-01,0.602,48.902252292535074,11.839332317947107
Sorbus,2022-01-01,0.147,48.9024494700122,11.839276644010841
Fagus,2022-01-01,0.665,48.90202970887588,11.838966455025254
Fagus,2022-01-01,0.40399999999999997,48.90220725927903,11.838518134314315
Fagus,2022-01-01,0.225,48.90219222935213,11.838488645535818
Fagus,2022-01-01,0.48100000000000004,48.90219873877075,11.838463052247187
Fagus,2022-01-01,0.608,48.90217435667151,11.839260052593856
Picea,2022-01-01,0.135,48.9021995617059,11.838566091353165
Fagus,2022-01-01,0.126,48.902547405557556,11.839290999668835
Taxus,2022-01-01,0.313,48.902237379013336,11.839096128738836
Taxus,2022-01-01,0.299,48.901988861962266,11.83876460763063
Taxus,2022-01-01,0.256,48.902282214707284,11.8389200923596
Taxus,2022-01-01,0.28600000000000003,48.90201491658306,11.838310989869052
Taxus,2022-01-01,0.145,48.902235198649954,11.839095369431913
Taxus,2022-01-01,0.127,48.90229161078657,11.838831891807821
Fagus,2022-01-01,0.14400000000000002,48.902062464070866,11.838856939654937
Fagus,2022-01-01,0.428,48.902243713469524,11.839427241168137
Fagus,2022-01-01,0.451,48.90192793007141,11.838742666938417
Taxus,2022-01-01,0.32899999999999996,48.902214623892455,11.838932210028142
Quercus,2022-01-01,0.41,48.90226835452314,11.839576471299956
Taxus,2022-01-01,0.18,48.90232213530388,11.839083655379778
Taxus,2022-01-01,0.27899999999999997,48.90217106532215,11.839224280287441
Taxus,2022-01-01,0.14400000000000002,48.902273548192404,11.838902302043554
Taxus,2022-01-01,0.184,48.9021432324344,11.83879773962043
Fagus,2022-01-01,0.48200000000000004,48.90242090576022,11.83906552425711
Fagus,2022-01-01,0.648,48.90218079105828,11.839365747586907
Taxus,2022-01-01,0.32,48.90230003679303,11.839321282702585
Taxus,2022-01-01,0.353,48.90220289835601,11.839336874344678
Fagus,2022-01-01,0.337,48.902337085526696,11.839427911906961
Fagus,2022-01-01,0.445,48.90234237205694,11.839432332302026
Taxus,2022-01-01,0.32,48.90210965564916,11.838900668536164
Carpinus,2022-01-01,0.221,48.90205657588658,11.83901193213235
Taxus,2022-01-01,0.361,48.90218318368445,11.838989173312488
Fagus,2022-01-01,0.275,48.90235172033173,11.839516269953869
